Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Mayo  County Council,22,670,624,46
Mayo  County Council,23,623,619,4
Mayo  County Council,24,515,644,-129
Mayo  County Council,25,538,598,-60
Mayo  County Council,26,549,579,-30
Mayo  County Council,27,559,556,3
Mayo  County Council,28,582,598,-16
Mayo  County Council,29,658,599,59
Mayo  County Council,30,696,657,39
Mayo  County Council,31,737,719,18
Mayo  County Council,32,763,667,96
Mayo  County Council,33,758,761,-3
Mayo  County Council,34,856,778,78
Mayo  County Council,35,871,821,50
Mayo  County Council,36,909,871,38
Mayo  County Council,37,973,899,74
Mayo  County Council,38,963,892,71
Mayo  County Council,39,1033,959,74
Mayo  County Council,40,1126,943,183
Mayo  County Council,41,1119,950,169
Mayo  County Council,42,1014,1007,7
Mayo  County Council,43,1000,919,81
Mayo  County Council,44,956,955,1
Mayo  County Council,45,946,931,15
Mayo  County Council,46,976,974,2
Mayo  County Council,47,945,919,26
Mayo  County Council,48,958,905,53
Mayo  County Council,49,967,918,49
Mayo  County Council,50,922,971,-49
Mayo  County Council,51,933,955,-22
Mayo  County Council,52,996,925,71
Mayo  County Council,53,968,880,88
Mayo  County Council,54,870,919,-49
Mayo  County Council,55,938,903,35
Mayo  County Council,56,970,888,82
Mayo  County Council,57,948,946,2
Mayo  County Council,58,932,917,15
Mayo  County Council,59,881,905,-24
Mayo  County Council,60,927,845,82
Mayo  County Council,61,859,876,-17
Mayo  County Council,62,923,902,21
Mayo  County Council,63,872,890,-18
Mayo  County Council,64,934,874,60
Mayo  County Council,65,856,853,3
Mayo  County Council,66,854,866,-12
Mayo  County Council,67,864,844,20
Mayo  County Council,68,799,803,-4
Mayo  County Council,69,771,791,-20
Mayo  County Council,70,771,727,44
Mayo  County Council,71,777,805,-28
Mayo  County Council,72,762,745,17
Mayo  County Council,73,666,699,-33
Mayo  County Council,74,626,723,-97
Mayo  County Council,75,588,683,-95
Mayo  County Council,76,573,577,-4
Mayo  County Council,77,532,512,20
Mayo  County Council,78,469,483,-14
Mayo  County Council,79,456,428,28
Mayo  County Council,80,392,407,-15
Mayo  County Council,81,391,349,42
Mayo  County Council,82,352,289,63
Mayo  County Council,83,346,275,71
Mayo  County Council,84,311,232,79
Mayo  County Council,85,304,219,85
Mayo  County Council,86,247,204,43
Mayo  County Council,87,238,155,83
Mayo  County Council,88,239,154,85
Mayo  County Council,89,157,112,45
Mayo  County Council,90,157,99,58
Mayo  County Council,91,149,69,80
Mayo  County Council,92,85,44,41
Mayo  County Council,93,93,29,64
Mayo  County Council,94,80,28,52
Mayo  County Council,95,49,12,37
Mayo  County Council,96,42,10,32
Mayo  County Council,97,24,10,14
Mayo  County Council,98,18,9,9
Mayo  County Council,99,12,2,10
Mayo  County Council,100,25,6,19
Meath County Council,0,1368,1406,-38
Meath County Council,1,1235,1403,-168
Meath County Council,2,1388,1463,-75
Meath County Council,3,1389,1539,-150
Meath County Council,4,1448,1578,-130
Meath County Council,5,1520,1601,-81
Meath County Council,6,1628,1588,40
Meath County Council,7,1665,1774,-109
Meath County Council,8,1712,1881,-169
Meath County Council,9,1832,1805,27
Meath County Council,10,1800,1956,-156
Meath County Council,11,1920,1978,-58
Meath County Council,12,1912,1964,-52
Meath County Council,13,1888,1897,-9
Meath County Council,14,1853,1841,12
Meath County Council,15,1729,1771,-42
Meath County Council,16,1570,1705,-135
Meath County Council,17,1582,1613,-31
